X,Y,R,G,B,A
0,0,105,86,61,255
0,1,105,88,64,255
0,2,105,88,64,255
0,3,105,88,64,255
0,4,106,88,64,255
0,5,106,90,66,255
0,6,106,90,66,255
0,7,106,90,66,255
0,8,106,90,66,255
0,9,108,90,66,255
0,10,106,90,66,255
0,11,108,91,69,255
0,12,108,91,69,255
0,13,108,91,69,255
0,14,108,91,69,255
0,15,108,93,71,255
0,16,108,93,71,255
0,17,109,96,77,255
0,18,112,99,83,255
0,19,112,99,83,255
0,20,113,101,85,255
0,21,113,102,86,255
0,22,114,102,88,255
0,23,114,104,88,255
0,24,114,104,86,255
0,25,114,104,88,255
0,26,114,104,85,255
0,27,117,104,85,255
0,28,115,102,81,255
0,29,115,102,81,255
0,30,115,102,81,255
0,31,115,104,85,255
0,32,79,99,95,255
0,33,61,95,99,255
0,34,61,95,99,255
0,35,46,81,90,255
0,36,13,28,34,255
0,37,13,53,77,255
0,38,66,79,83,255
0,39,13,50,59,255
0,40,13,38,50,255
0,41,13,38,50,255
0,42,22,69,79,255
0,43,22,56,50,255
0,44,34,56,46,255
0,45,0,13,13,255
0,46,0,13,13,255
0,47,0,22,22,255
0,48,13,28,22,255
0,49,13,28,22,255
0,50,13,28,22,255
0,51,13,34,34,255
0,52,28,46,50,255
0,53,28,46,50,255
0,54,34,53,53,255
0,55,0,22,13,255
0,56,13,28,22,255
0,57,13,22,22,255
0,58,13,28,22,255
0,59,22,53,56,255
0,60,13,38,42,255
0,61,13,34,34,255
0,62,22,46,46,255
0,63,81,115,125,255
0,64,151,179,192,255
0,65,160,183,195,255
0,66,150,178,190,255
0,67,152,179,190,255
0,68,153,178,190,255
0,69,153,177,189,255
0,70,126,151,170,255
0,71,109,132,152,255
0,72,93,115,134,255
0,73,106,130,148,255
0,74,114,138,157,255
0,75,164,186,202,255
0,76,186,204,218,255
0,77,188,206,220,255
0,78,186,205,219,255
0,79,187,206,220,255
0,80,189,207,220,255
0,81,189,207,220,255
0,82,190,208,221,255
0,83,190,208,221,255
0,84,189,208,221,255
0,85,190,209,222,255
0,86,191,209,222,255
0,87,192,210,222,255
0,88,195,211,223,255
0,89,196,211,223,255
0,90,194,210,223,255
0,91,194,210,223,255
0,92,190,208,221,255
0,93,189,207,220,255
0,94,188,206,220,255
0,95,190,209,222,255
0,96,200,217,227,255
0,97,209,223,233,255
0,98,211,224,234,255
0,99,211,224,234,255
0,100,209,223,234,255
0,101,210,224,234,255
0,102,209,223,233,255
0,103,209,223,233,255
0,104,210,224,234,255
0,105,207,222,232,255
0,106,192,210,223,255
0,107,174,194,209,255
0,108,160,174,189,255
0,109,157,169,182,255
0,110,157,169,182,255
0,111,155,168,182,255
0,112,153,167,181,255
0,113,156,168,180,255
0,114,157,167,180,255
0,115,157,167,180,255
0,116,155,167,181,255
0,117,155,168,182,255
0,118,156,173,187,255
0,119,160,182,195,255
0,120,164,196,208,255
0,121,155,180,194,255
0,122,155,178,194,255
0,123,153,168,182,255
0,124,152,169,181,255
0,125,152,169,181,255
0,126,152,167,179,255
0,127,154,166,177,255
0,128,154,166,177,255
0,129,152,166,178,255
0,130,153,167,179,255
0,131,153,168,180,255
0,132,153,169,181,255
0,133,153,168,180,255
0,134,155,168,180,255
0,135,153,167,180,255
0,136,155,167,178,255
0,137,155,167,178,255
0,138,155,167,179,255
0,139,153,165,178,255
0,140,154,166,177,255
0,141,154,166,177,255
0,142,153,165,176,255
0,143,152,167,176,255
1,0,105,86,61,255
1,1,105,86,61,255
1,2,105,88,64,255
1,3,105,88,64,255
1,4,106,88,64,255
1,5,106,90,66,255
1,6,106,90,66,255
1,7,106,90,66,255
1,8,106,90,66,255
1,9,106,90,66,255
1,10,108,90,66,255
1,11,106,90,66,255
1,12,108,91,69,255
1,13,108,91,69,255
1,14,108,91,69,255
1,15,108,93,71,255
1,16,108,93,71,255
1,17,109,95,75,255
1,18,109,96,77,255
1,19,112,99,83,255
1,20,113,101,83,255
1,21,113,101,85,255
1,22,113,102,86,255
1,23,115,104,88,255
1,24,114,104,86,255
1,25,114,104,86,255
1,26,114,104,85,255
1,27,117,104,85,255
1,28,117,102,81,255
1,29,117,102,81,255
1,30,115,102,81,255
1,31,115,104,85,255
1,32,106,104,88,255
1,33,75,105,98,255
1,34,61,95,99,255
1,35,46,81,90,255
1,36,13,64,83,255
1,37,64,88,91,255
1,38,66,79,83,255
1,39,13,50,59,255
1,40,28,61,69,255
1,41,28,61,69,255
1,42,71,86,85,255
1,43,22,56,50,255
1,44,34,56,46,255
1,45,0,13,13,255
1,46,0,13,0,255
1,47,13,28,22,255
1,48,0,22,13,255
1,49,13,28,22,255
1,50,13,28,22,255
1,51,13,34,34,255
1,52,22,56,56,255
1,53,22,56,56,255
1,54,22,53,46,255
1,55,13,34,34,255
1,56,0,28,22,255
1,57,13,22,22,255
1,58,13,28,22,255
1,59,22,53,56,255
1,60,13,38,42,255
1,61,13,34,34,255
1,62,22,46,46,255
1,63,81,115,125,255
1,64,155,182,194,255
1,65,156,181,192,255
1,66,153,178,189,255
1,67,155,177,188,255
1,68,155,178,190,255
1,69,154,175,186,255
1,70,127,153,171,255
1,71,108,132,154,255
1,72,98,120,138,255
1,73,105,130,148,255
1,74,120,144,163,255
1,75,167,188,203,255
1,76,187,205,219,255
1,77,188,206,220,255
1,78,189,206,220,255
1,79,189,208,221,255
1,80,189,207,220,255
1,81,189,207,220,255
1,82,190,208,221,255
1,83,190,208,221,255
1,84,189,208,221,255
1,85,190,209,222,255
1,86,192,210,223,255
1,87,193,210,223,255
1,88,194,211,224,255
1,89,196,211,224,255
1,90,193,209,222,255
1,91,193,209,222,255
1,92,190,208,221,255
1,93,189,207,220,255
1,94,188,206,220,255
1,95,192,210,223,255
1,96,202,218,228,255
1,97,209,223,233,255
1,98,211,224,234,255
1,99,211,224,234,255
1,100,209,223,234,255
1,101,211,224,234,255
1,102,210,224,234,255
1,103,210,224,234,255
