X,Y,R,G,B,A
0,0,126,119,112,255
0,1,126,118,110,255
0,2,126,118,109,255
0,3,126,118,109,255
0,4,126,118,110,255
0,5,126,118,110,255
0,6,125,118,110,255
0,7,127,119,112,255
0,8,127,119,112,255
0,9,127,120,113,255
0,10,127,120,113,255
0,11,127,121,114,255
0,12,129,121,115,255
0,13,128,121,115,255
0,14,129,122,117,255
0,15,128,122,118,255
0,16,128,122,118,255
0,17,129,122,118,255
0,18,128,122,117,255
0,19,128,122,117,255
0,20,129,122,117,255
0,21,129,122,117,255
0,22,129,122,117,255
0,23,130,122,117,255
0,24,130,122,113,255
0,25,129,121,112,255
0,26,129,120,109,255
0,27,129,120,108,255
0,28,131,121,110,255
0,29,131,121,110,255
0,30,131,124,114,255
0,31,133,126,115,255
0,32,132,125,114,255
0,33,134,126,115,255
0,34,134,126,115,255
0,35,134,127,117,255
0,36,134,127,117,255
0,37,134,128,117,255
0,38,136,130,120,255
0,39,135,130,122,255
0,40,134,129,122,255
0,41,134,129,122,255
0,42,134,129,124,255
0,43,135,130,125,255
0,44,136,131,126,255
0,45,136,132,126,255
0,46,137,133,127,255
0,47,138,134,128,255
0,48,120,135,134,255
0,49,114,141,143,255
0,50,105,136,140,255
0,51,75,114,122,255
0,52,98,117,124,255
0,53,98,117,124,255
0,54,106,124,125,255
0,55,73,91,96,255
0,56,77,98,101,255
0,57,90,114,118,255
0,58,90,117,121,255
0,59,86,113,117,255
0,60,77,105,106,255
0,61,88,110,110,255
0,62,71,99,101,255
0,63,86,109,110,255
0,64,28,86,102,255
0,65,38,88,96,255
0,66,38,86,102,255
0,67,34,81,96,255
0,68,28,73,85,255
0,69,69,98,101,255
0,70,108,128,129,255
0,71,119,146,162,255
0,72,98,115,131,255
0,73,153,173,189,255
0,74,210,223,232,255
0,75,209,222,232,255
0,76,205,219,230,255
0,77,205,219,230,255
0,78,204,219,229,255
0,79,205,220,230,255
0,80,206,220,230,255
0,81,205,220,230,255
0,82,207,221,231,255
0,83,207,221,231,255
0,84,205,220,230,255
0,85,203,218,229,255
0,86,203,219,230,255
0,87,213,226,235,255
0,88,220,231,238,255
0,89,220,231,238,255
0,90,219,231,238,255
0,91,219,231,238,255
0,92,220,231,238,255
