X,Y,R,G,B,A
0,0,147,139,135,255
0,1,148,141,137,255
0,2,147,140,137,255
0,3,147,140,137,255
0,4,147,140,137,255
0,5,147,141,138,255
0,6,146,140,137,255
0,7,147,142,138,255
0,8,146,140,137,255
0,9,146,141,138,255
0,10,146,141,138,255
0,11,146,141,139,255
0,12,146,140,138,255
0,13,146,141,139,255
0,14,146,140,138,255
0,15,146,141,138,255
0,16,146,141,138,255
0,17,146,140,138,255
0,18,146,141,138,255
0,19,146,141,138,255
0,20,146,140,138,255
0,21,146,141,138,255
0,22,146,140,138,255
0,23,146,140,138,255
0,24,146,141,138,255
0,25,146,140,138,255
0,26,146,141,138,255
0,27,146,141,138,255
0,28,147,142,137,255
0,29,147,142,137,255
0,30,148,143,137,255
0,31,148,141,133,255
0,32,148,137,126,255
0,33,147,136,121,255
0,34,147,136,121,255
0,35,147,136,120,255
0,36,148,137,120,255
0,37,148,137,120,255
0,38,148,139,122,255
0,39,149,142,128,255
0,40,150,145,133,255
0,41,150,145,133,255
0,42,150,145,131,255
0,43,149,143,125,255
0,44,149,142,122,255
0,45,150,143,124,255
0,46,150,144,126,255
0,47,152,148,131,255
0,48,154,150,139,255
0,49,153,150,143,255
0,50,152,149,143,255
0,51,153,150,144,255
0,52,153,151,146,255
0,53,153,151,146,255
0,54,152,152,146,255
0,55,150,155,150,255
0,56,132,163,159,255
0,57,127,167,160,255
0,58,98,147,142,255
0,59,101,147,141,255
0,60,125,180,157,255
0,61,125,189,170,255
0,62,121,186,165,255
0,63,112,180,160,255
0,64,98,165,144,255
0,65,109,173,143,255
0,66,93,151,120,255
0,67,64,120,98,255
0,68,38,79,61,255
0,69,61,98,98,255
0,70,102,120,128,255
0,71,126,140,152,255
0,72,195,211,223,255
0,73,210,221,230,255
0,74,188,200,210,255
0,75,184,197,206,255
0,76,184,198,207,255
0,77,184,198,207,255
0,78,184,197,206,255
0,79,184,196,206,255
0,80,183,196,206,255
0,81,183,196,206,255
0,82,182,195,206,255
0,83,183,195,206,255
0,84,183,195,206,255
0,85,182,195,206,255
0,86,183,195,206,255
0,87,182,194,205,255
0,88,183,194,205,255
0,89,181,194,205,255
0,90,181,195,206,255
0,91,181,195,206,255
0,92,181,194,206,255
0,93,182,195,206,255
0,94,181,195,206,255
0,95,181,195,206,255
0,96,181,194,205,255
0,97,180,193,204,255
0,98,181,194,206,255
0,99,181,194,205,255
0,100,181,193,205,255
0,101,182,192,203,255
0,102,182,192,204,255
0,103,182,192,204,255
0,104,184,193,205,255
0,105,182,193,204,255
0,106,181,193,204,255
0,107,181,194,205,255
0,108,180,194,204,255
0,109,181,192,203,255
0,110,181,192,203,255
0,111,180,192,202,255
0,112,181,194,203,255
0,113,182,193,203,255
0,114,180,192,203,255
0,115,180,192,203,255
0,116,179,192,203,255
0,117,179,192,203,255
0,118,180,192,204,255
0,119,180,192,204,255
0,120,180,192,205,255
0,121,179,191,203,255
0,122,178,190,203,255
0,123,178,190,203,255
0,124,179,192,205,255
0,125,179,192,205,255
0,126,179,192,204,255
0,127,178,192,203,255
0,128,178,192,203,255
0,129,178,190,203,255
0,130,178,191,204,255
0,131,178,190,203,255
0,132,181,190,203,255
0,133,181,190,203,255
0,134,182,192,203,255
0,135,183,193,203,255
0,136,180,192,203,255
0,137,182,192,204,255
0,138,180,192,203,255
0,139,181,192,203,255
0,140,180,192,203,255
0,141,180,192,203,255
0,142,182,192,203,255
0,143,185,193,204,255
1,0,147,139,135,255
1,1,147,139,135,255
1,2,147,140,137,255
1,3,147,140,137,255
1,4,147,140,137,255
1,5,147,141,138,255
1,6,146,140,137,255
1,7,146,140,137,255
1,8,146,140,137,255
1,9,146,140,137,255
1,10,146,141,138,255
1,11,146,141,138,255
1,12,146,141,139,255
1,13,146,140,138,255
1,14,146,141,139,255
1,15,146,141,138,255
1,16,146,141,138,255
1,17,146,140,138,255
1,18,146,140,138,255
1,19,146,141,138,255
1,20,146,140,138,255
1,21,146,140,138,255
1,22,146,141,138,255
1,23,146,140,138,255
1,24,146,141,138,255
1,25,146,141,138,255
1,26,146,141,138,255
1,27,146,141,138,255
1,28,148,142,138,255
1,29,148,142,138,255
1,30,148,143,137,255
1,31,148,141,133,255
1,32,148,140,129,255
1,33,147,137,122,255
1,34,147,136,121,255
1,35,147,136,120,255
1,36,148,136,120,255
1,37,148,138,121,255
1,38,148,139,122,255
1,39,149,142,128,255
1,40,151,145,133,255
1,41,151,145,133,255
1,42,151,146,133,255
1,43,149,143,125,255
1,44,149,142,122,255
1,45,150,143,124,255
1,46,151,145,127,255
1,47,152,147,131,255
1,48,155,150,138,255
1,49,153,150,143,255
1,50,152,149,143,255
1,51,153,150,144,255
1,52,153,151,146,255
1,53,153,151,146,255
1,54,153,153,146,255
1,55,155,155,148,255
1,56,148,160,152,255
1,57,129,163,155,255
1,58,98,147,142,255
1,59,101,147,141,255
1,60,125,180,157,255
1,61,125,189,170,255
1,62,121,186,165,255
1,63,112,180,160,255
1,64,110,182,160,255
1,65,110,178,151,255
1,66,91,153,133,255
1,67,77,143,137,255
1,68,50,99,88,255
1,69,75,106,106,255
1,70,101,121,129,255
1,71,119,134,148,255
1,72,194,211,223,255
1,73,206,220,230,255
1,74,188,200,210,255
1,75,185,197,207,255
1,76,185,198,208,255
1,77,184,198,207,255
1,78,184,197,207,255
1,79,183,196,207,255
1,80,183,196,206,255
1,81,183,196,206,255
1,82,182,195,206,255
1,83,183,195,206,255
1,84,183,195,206,255
1,85,182,195,206,255
1,86,183,196,206,255
1,87,183,194,206,255
1,88,183,194,205,255
1,89,181,194,205,255
1,90,181,194,205,255
1,91,181,194,205,255
1,92,181,194,206,255
1,93,182,195,206,255
1,94,181,195,206,255
1,95,181,196,206,255
1,96,182,195,206,255
1,97,182,194,205,255
1,98,181,194,206,255
1,99,181,194,205,255
1,100,181,193,205,255
1,101,182,192,203,255
1,102,182,192,203,255
1,103,182,192,203,255
1,104,184,193,205,255
1,105,182,193,204,255
1,106,182,194,205,255
1,107,181,194,204,255
1,108,180,194,204,255
1,109,181,192,203,255
1,110,181,193,204,255
1,111,180,192,203,255
1,112,181,194,203,255
1,113,182,193,203,255
1,114,182,194,205,255
1,115,182,194,205,255
1,116,179,192,203,255
1,117,179,192,203,255
1,118,180,192,204,255
1,119,180,192,204,255
1,120,180,192,205,255
1,121,178,190,203,255
1,122,178,190,203,255
1,123,181,192,205,255
1,124,179,192,205,255
1,125,179,192,204,255
1,126,180,194,204,255
1,127,178,192,203,255
1,128,178,192,203,255
1,129,178,191,204,255
1,130,178,190,203,255
1,131,181,190,203,255
1,132,181,190,203,255
1,133,182,192,203,255
1,134,183,193,203,255
1,135,183,193,203,255
1,136,182,192,204,255
1,137,182,192,204,255
1,138,180,192,203,255
1,139,181,192,203,255
1,140,180,192,203,255
1,141,180,192,203,255
1,142,185,193,204,255
1,143,185,193,204,255
2,0,147,140,136,255
2,1,147,139,135,255
2,2,147,139,135,255
2,3,147,140,137,255
2,4,147,140,137,255
2,5,147,141,138,255
2,6,147,141,138,255
2,7,146,140,137,255
2,8,147,142,138,255
2,9,146,140,137,255
2,10,146,141,138,255
2,11,146,141,138,255
2,12,146,141,139,255
2,13,146,141,139,255
2,14,146,141,139,255
2,15,147,141,139,255
2,16,146,141,138,255
2,17,146,140,138,255
2,18,146,140,138,255
2,19,146,141,138,255
2,20,146,140,138,255
2,21,146,140,138,255
2,22,146,141,138,255
2,23,146,140,138,255
2,24,146,140,138,255
2,25,146,141,138,255
2,26,146,141,138,255
2,27,146,141,138,255
2,28,148,142,138,255
2,29,148,142,138,255
2,30,148,143,137,255
2,31,148,143,135,255
2,32,148,140,129,255
2,33,147,137,122,255
2,34,147,137,122,255
2,35,147,136,120,255
2,36,148,136,120,255
2,37,148,138,121,255
2,38,148,139,122,255
2,39,150,142,127,255
2,40,151,145,133,255
2,41,151,145,133,255
2,42,151,146,133,255
2,43,149,143,126,255
2,44,149,143,125,255
2,45,151,144,126,255
2,46,151,145,127,255
2,47,152,147,131,255
2,48,155,150,138,255
2,49,154,151,144,255
2,50,154,150,145,255
2,51,154,151,145,255
2,52,154,151,145,255
2,53,153,151,146,255
2,54,153,153,146,255
2,55,155,155,148,255
2,56,148,160,152,255
2,57,129,163,155,255
2,58,112,153,152,255
2,59,85,128,134,255
2,60,98,145,137,255
2,61,126,177,153,255
2,62,120,179,155,255
2,63,124,187,164,255
2,64,127,193,170,255
2,65,118,187,163,255
2,66,102,171,155,255
2,67,110,170,154,255
2,68,71,109,83,255
2,69,75,106,106,255
2,70,101,121,129,255
2,71,119,134,148,255
2,72,194,211,223,255
