scenario,scenario_type_intensity,route_change,route_change_avg,collisions_vehicle,collisions_layout
haze,0,0.00,0.00,100.00,0.00
haze,1,0.00,0.00,100.00,0.00
haze,2,0.00,0.00,100.00,0.00
haze,3,0.00,0.00,100.00,0.00
haze,4,0.00,0.00,100.00,0.00
haze,5,0.00,0.00,100.00,0.00
haze,6,0.00,0.00,100.00,0.00
haze,7,0.00,0.00,100.00,0.00
haze,8,0.00,0.00,100.00,0.00
haze,9,0.00,0.00,100.00,0.00
shade,0,0.00,0.00,100.00,0.00
shade,1,0.00,0.00,0.00,0.00
shade,2,0.00,0.00,0.00,0.00
shade,3,0.00,0.00,0.00,0.00
shade,4,0.00,0.00,0.00,0.00
shade,5,0.00,0.00,0.00,0.00
shade,6,0.00,0.00,0.00,0.00
shade,7,0.00,0.00,0.00,0.00
shade,8,0.00,0.00,0.00,0.00
shade,9,0.00,0.00,0.00,0.00
rain,0,0.00,0.00,0.00,0.00
rain,1,0.00,0.00,0.00,0.00
rain,2,0.00,0.00,0.00,0.00
rain,3,0.00,0.00,18.18,0.00
rain,4,100.00,15.19,0.00,0.00
rain,5,0.00,0.00,100.00,0.00
rain,6,100.00,54.13,0.00,0.00
rain,7,100.00,9.75,0.00,9.09
rain,8,9.09,2.59,0.00,9.09
rain,9,9.09,2.72,0.00,9.09
