scenario_num,scenario_type,scenario_type_intensity,collisions_vehicle,collisions_layout,outside_route_lanes,outside_route_lanes_average,meta_duration_game,meta_duration_system,meta_route_length,scores_score_composed,scores_score_penalty,scores_score_route,status
108,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.442  y=-69.124  z=0.035),,,0.0,5.050000075250864,57.03457951545715,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
102,haze,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.442  y=-69.005  z=0.035),,,0.0,5.250000078231096,66.6540949344635,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
106,rain,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.332  y=-68.996  z=0.035),,,0.0,5.275000078603625,72.93271684646606,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
103,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.449  y=-69.112  z=0.035),,,0.0,5.050000075250864,55.428483724594116,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,haze,6,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.484  y=-69.013  z=0.035),,,0.0,5.125000076368451,55.74343276023865,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,rain,3,,,Agent went outside its route lanes for about 7.0 meters (13.97% of the completed route),13.97,13.525000201538205,171.69750905036926,131.55983352661133,32.90237068099567,0.8603296191570678,38.2439125055728,Failed
103,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.854  y=-62.131  z=0.143),Agent went outside its route lanes for about 5.0 meters (20.73% of the completed route),20.73,8.375000124797225,115.9186282157898,131.55983352661133,9.48254444564789,0.5152461096025344,18.403912749506855,Failed
106,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.847  y=-62.25  z=0.143),Agent went outside its route lanes for about 4.0 meters (17.3% of the completed route),17.3,8.350000124424696,115.06227850914001,131.55983352661133,9.482544445647887,0.5375337275780814,17.640836210171514,Failed
102,shade,4,,,,0.0,15.375000229105353,171.7427852153778,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
105,shade,8,,,,0.0,16.375000244006515,171.76867151260376,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
105,shade,9,,,,0.0,16.50000024586916,171.6680142879486,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
108,shade,6,,,,0.0,16.550000246614218,171.62843132019043,131.55983352661133,46.63775925945217,1.0,46.63775925945217,Failed
109,haze,8,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.4  y=-69.04  z=0.035),,,0.0,5.075000075623393,55.71252632141113,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,shade,8,,,,0.0,16.575000246986747,171.70658230781555,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
